epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,158.316,0.50062,3.09121,0.93442,0.91169,0.86348,0.93998,0.66498,0.71233,3.74078,1.04709,0.00243588,0.00243588,0.00243588
145,159.4,0.4891,2.28775,0.89837,0.85503,0.93786,0.94309,0.66473,0.6986,3.52163,1.05409,0.00242851,0.00242851,0.00242851
146,160.551,0.48402,2.24465,0.8867,0.90677,0.93246,0.94985,0.71219,0.68577,3.1694,1.05261,0.0024211,0.0024211,0.0024211
147,161.646,0.53722,2.50954,0.90225,0.90588,0.94251,0.94691,0.7064,0.67715,3.17404,1.06395,0.00241366,0.00241366,0.00241366
148,162.734,0.50979,2.41775,0.91026,0.89942,0.94772,0.94797,0.70796,0.68502,3.08584,1.05902,0.00240618,0.00240618,0.00240618
149,163.842,0.50411,2.30688,0.90705,0.90704,0.94016,0.94838,0.69541,0.70506,3.404,1.07178,0.00239867,0.00239867,0.00239867
150,164.893,0.48179,2.21427,0.92305,0.90704,0.94016,0.94838,0.69541,0.70506,3.404,1.07178,0.00239112,0.00239112,0.00239112
151,165.977,0.53983,2.44912,1.03542,0.86976,0.95455,0.94865,0.70738,0.68238,3.2309,1.06019,0.00238353,0.00238353,0.00238353
152,167.061,0.53457,2.51219,0.95606,0.90645,0.9484,0.94759,0.7164,0.65413,3.2482,1.0352,0.00237591,0.00237591,0.00237591
153,168.157,0.48884,2.27442,0.89341,0.79683,0.95455,0.9372,0.72933,0.659,3.17394,1.01279,0.00236826,0.00236826,0.00236826
154,169.234,0.5137,2.36221,0.90988,0.89563,0.90909,0.94415,0.72207,0.66385,3.31477,1.02986,0.00236057,0.00236057,0.00236057
155,170.383,0.54769,4.08792,1.01876,0.84624,0.94724,0.94294,0.72296,0.66136,3.24057,1.0319,0.00235285,0.00235285,0.00235285
156,171.473,0.53021,2.37583,0.96417,0.96368,0.81818,0.93912,0.70571,0.67328,3.41758,1.05185,0.0023451,0.0023451,0.0023451
157,172.559,0.43757,2.14131,0.90811,0.95878,0.81818,0.93785,0.72909,0.69249,3.60548,1.05442,0.00233731,0.00233731,0.00233731
158,173.624,0.51477,2.47959,0.90005,0.95878,0.81818,0.93785,0.72909,0.69249,3.60548,1.05442,0.00232949,0.00232949,0.00232949
159,174.695,0.55582,2.5353,0.92257,0.97359,0.81258,0.94345,0.69824,0.72536,3.50019,1.06362,0.00232163,0.00232163,0.00232163
160,175.784,0.51022,2.30367,0.9254,0.89266,0.90909,0.94501,0.72298,0.69377,3.34366,1.05721,0.00231375,0.00231375,0.00231375
